form	segmentation	pos	morph_tag
abalġāe	abal+ġe-ae	noun	INS
abalġāi	abal+ġe-ae	noun	INS
adaššene	ad+a+šše-ne-e	noun	RELAT.SG-DIR/LOC
adaššīni	ad+a+šše-ne-e	noun	RELAT.SG-DIR/LOC
ade	ad-i	verb	TR.IMP
adi	ad-i	verb	ANTIP
ade	ade	noun	.ABS
adi	ade	noun	.ABS
agulla	ag-o=lla	verb	MOD.PAT=3PL.ABS
agūlla	ag-o=lla	verb	MOD.PAT=3PL.ABS
agōža	ag-ož-a	verb	PST-3A.SG
agōžā	ag-ož-a	verb	PST-3A.SG
agulla	ag-u=lla	verb	MED=3PL.ABS
agūlla	ag-u=lla	verb	MED=3PL.ABS
agulla	aguli-na	noun	RELAT.PL.ABS
agūlla	aguli-na	noun	RELAT.PL.ABS
ai	ai	CONJ	
āi	ai	CONJ	
aima	ai=ma	CONJ	=CON
ema	ai=ma	CONJ	=CON
āima	ai=ma	CONJ	=CON
alōri	al+o+re	noun	.ABS
alūri	al+o+re	noun	.ABS
ālōri	al+o+re	noun	.ABS
alurina	al+o+re-na	noun	RELAT.PL.ABS
alūrina	al+o+re-na	noun	RELAT.PL.ABS
alummai	al-o+m+ai	verb	CVB
alummāi	al-o+m+ai	verb	CVB
alumain	al-o+m+ai-n	verb	CVB-n
alumaīn	al-o+m+ai-n	verb	CVB-n
alumāin	al-o+m+ai-n	verb	CVB-n
alūmāin	al-o+m+ai-n	verb	CVB-n
aluwīb	alu-i-b	verb	ANTIP-b
aluīb	alu-i-b	verb	ANTIP-b
aluma	alu-o+m+ai	verb	CVB
alumai	alu-o+m+ai	verb	CVB
alumāi	alu-o+m+ai	verb	CVB
alumē	alu-o+m+ai	verb	CVB
alumain	alu-o+m+ai-n	verb	CVB-n
alumāin	alu-o+m+ai-n	verb	CVB-n
alumāīn	alu-o+m+ai-n	verb	CVB-n
alušti	alu-ušt-i	verb	RES-TR.IMP
ālūšti	alu-ušt-i	verb	RES-TR.IMP
alġi	alġi	noun	.ABS
ālġi	alġi	noun	.ABS
amulūdōm	am-ol-ud-o-m	verb	ol-NEG-TR.PFV-3A.SG
amōludum	am-ol-ud-o-m	verb	ol-NEG-TR.PFV-3A.SG
amōludōm	am-ol-ud-o-m	verb	ol-NEG-TR.PFV-3A.SG
amudum	am-ud-o-m	verb	NEG-TR.PFV-3A.SG
amōdum	am-ud-o-m	verb	NEG-TR.PFV-3A.SG
ammum	amm-o-m	verb	TR.PFV-3A.SG
āmmōm	amm-o-m	verb	TR.PFV-3A.SG
amattena	ammatte-na	ADJ	RELAT.PL.ABS
amāttīna	ammatte-na	ADJ	RELAT.PL.ABS
ananareškinibāe	an+an+ar+i+ški-ne-ve-ae	noun	RELAT.SG-GEN-INS
ananariškinibāe	an+an+ar+i+ški-ne-ve-ae	noun	RELAT.SG-GEN-INS
anzīma	anz-i=ma	verb	ANTIP=CON
anzīma	anz-i=ma	verb	TR.IMP=CON
ari	ar-i	verb	ANTIP
ari	ar-i	verb	TR.IMP
āri	ar-i	verb	ANTIP
arulāuž	ar-ol-aw-ž	verb	ol-1A-PL
arōlauž	ar-ol-aw-ž	verb	ol-1A-PL
arōlāuž	ar-ol-aw-ž	verb	ol-1A-PL
arde	arde	noun	.ABS
ardē	arde	noun	.ABS
ārdi	arde	noun	.ABS
ārdīdan	arde-i-dan	noun	3POSS.SG-ABL
ārdīdani	arde-i-dan	noun	3POSS.SG-ABL
ardeni	arde-ne	noun	ABL/INS
ārdēni	arde-ne	noun	ABL/INS
ardeni	arde-ne-e	noun	RELAT.SG-DIR/LOC
ārdēni	arde-ne-e	noun	RELAT.SG-DIR/LOC
ari	ari	noun	.ABS
āri	ari	noun	.ABS
arni	arni	noun	.ABS
ārni	arni	noun	.ABS
aziri	assīri	noun	.ABS
azīri	assīri	noun	.ABS
āssīri	assīri	noun	.ABS
attai	atta+i	noun	.ABS
attāi	atta+i	noun	.ABS
attānima	atta+ni=ma	noun	.ABS=CON
āttanima	atta+ni=ma	noun	.ABS=CON
awtaluman	audalumma=n	noun	.ABS=3SG.ABS
awtalumman	audalumma=n	noun	.ABS=3SG.ABS
avarri	avari-ne	noun	ABL/INS
avarrie	avari-ne	noun	ABL/INS
avarri	avari-ne-e	noun	RELAT.SG-DIR/LOC
avarrie	avari-ne-e	noun	RELAT.SG-DIR/LOC
abiaža	ave-až-a	PRON	PL-DAT/ESS
aveaža	ave-až-a	PRON	PL-DAT/ESS
aveiaža	ave-až-a	PRON	PL-DAT/ESS
avi	avi	POST	
ābi	avi	POST	
āvi	avi	POST	
abi	avi	PREP	
appi	avi	PREP	
avi	avi	PREP	
ābi	avi	PREP	
āvi	avi	PREP	
abi	avi	noun	.ABS
ābi	avi	noun	.ABS
āvi	avi	noun	.ABS
abin	avi+n	ADV	
avin	avi+n	ADV	
avīn	avi+n	ADV	
avida	avi-i-da	noun	3POSS.SG-DIR
ābida	avi-i-da	noun	3POSS.SG-DIR
