form	segmentation	pos	morph_tag
abarri	ab+ar+i-ne	noun	ABL/INS
abarri	ab+ar+i-ne-e	noun	RELAT.SG-DIR/LOC
abin	avi-i-n	noun	3POSS.SG-ABL/INS
abin	avi-n	noun	ABL/INS
abinie	abi-ne	noun	ABL/INS
abinie	abi-ne-e	noun	RELAT.SG-DIR/LOC
adal	ade-a=l	noun	ESS=3PL.ABS
adal	adāl	noun	.ABS
adāllēlla	adāl-ne-e=lla	noun	RELAT.SG-DIR/LOC=3PL.ABS
adāllēlla	adāl-ne-ž=lla	noun	RELAT.SG-ERG=3PL.ABS
adāllēlla	adāl-ne=lla	noun	ABL/INS=3PL.ABS
agarġu	ag+ar+ġ-o	verb	MOD.PAT
agarġu	ag+ar+ġ-u	verb	MED
agulla	ag-o=lla	verb	MOD.PAT=3PL.ABS
agulla	ag-u=lla	verb	MED=3PL.ABS
agum	ag-o-m	verb	TR.PFV-3A.SG
agum	ag-o=m	verb	MOD.PAT=CON
agum	ag-u=m	verb	MED=CON
aguma	ag-o+m+ai	verb	CVB
aguma	ag-o-m=ma	verb	TR.PFV-3A.SG=CON
aguma	ag-o=ma	verb	MOD.PAT=CON
aguma	agumi-a	verb	ESS
agūlla	ag-o=lla	verb	MOD.PAT=3PL.ABS
agūlla	ag-u=lla	verb	MED=3PL.ABS
aimān	ai=m=an	CONJ	=2SG.ABS=CON
aimān	ai=mān	CONJ	=CON
akkadeni	akk+ade-ne	noun	ABL/INS
akkadeni	akk+ade-ne-e	noun	RELAT.SG-DIR/LOC
aldāi	aldi-ae	noun	INS
aldāi	aldā+i	noun	.ABS
aldāi	al-d-i-ai	verb	d-MOD.AG-PURP
aldāi	ald-i-ai	verb	MOD.AG-PURP
allumāda	allum+āde-a	noun	ESS
allumāda	allumi-a=tta	noun	ESS=1SG.ABS
alubasḫini	al+u+b+a+sḫi-ne	noun	ABL/INS
alubasḫini	al+u+b+a+sḫi-ne-e	noun	RELAT.SG-DIR/LOC
alumain	al-o+m+ai-n	verb	CVB-n
alumain	alu-o+m+ai-n	verb	CVB-n
alummini	al-umme-ne	verb	INF-ABL/INS
alummini	al-umme-ne-e	verb	INF-RELAT.SG-DIR/LOC
alumāin	al-o+m+ai-n	verb	CVB-n
alumāin	alu-o+m+ai-n	verb	CVB-n
amudōbadi	am+ud-o-vade	verb	PAT-ADJ.NEG.ABS
amudōbadi	am-ud-o-vade	verb	ud-PAT-ADJ.NEG.ABS
aninie	ane-ne	PRON	ABL/INS
aninie	ane-ne-e	PRON	RELAT.SG-DIR/LOC
annivi	ani-ne-ve	noun	RELAT.SG-GEN
annivi	anni-ve	noun	GEN
annivi	annivi	noun	.ABS
anzu	anz-o	verb	MOD.PAT
anzu	anz-u	verb	MED
anzīma	anzi-i=ma	noun	3POSS.SG.ABS=CON
anzīma	anzi=ma	noun	.ABS=CON
anzīma	anz-i=ma	verb	ANTIP=CON
anzīma	anz-i=ma	verb	TR.IMP=CON
appubin	appubi-n	noun	ABL/INS
appubin	tuppubi-n	noun	ABL/INS
appubin	umbubi-n	noun	ABL/INS
ardeni	arde-ne	noun	ABL/INS
ardeni	arde-ne-e	noun	RELAT.SG-DIR/LOC
ardinin	arde-ne-e=n	noun	RELAT.SG-DIR/LOC=3SG.ABS
ardinin	arde-ne-n	noun	RELAT.SG-ABL/INS
ardinin	arde-ne=n	noun	ABL/INS=3SG.ABS
ardēn	arde-n	noun	ABL/INS
ardēn	arde=n	noun	.ABS=3SG.ABS
ari	ari	noun	.ABS
ari	āri	noun	.ABS
ari	ar-i	verb	ANTIP
ari	ar-i	verb	TR.IMP
ariliffa	arili-iffe-a	noun	1POSS.SG-ESS
ariliffa	arili-v-va	noun	2POSS.SG-DAT
arulli	aruli-ne	noun	ABL/INS
arulli	aruli-ne-e	noun	RELAT.SG-DIR/LOC
arulli	ar-ol-i-le	verb	ol-MOD.AG-1JUSS
arulli	ar-ull-i	verb	ull-ANTIP
arīvin	arīvi-n	noun	ABL/INS
arīvin	āri-i-ve=n	noun	3POSS.SG-GEN=3SG.ABS
arōluda	ar-ol-u-d-a	verb	ol-MED-PL.A-3A
arōluda	ar-ol-ud-a	verb	ol-ud-INT
attaebini	atta+i-i-ve-ne-e	noun	3POSS.SG-GEN-RELAT.SG-DIR/LOC
attaebini	atta+i-ve-ne-e	noun	GEN-RELAT.SG-DIR/LOC
attai	atta+i	noun	.ABS
attai	atta+i-i	noun	3POSS.SG.ABS
attaibinešša	atta+i-i-ve-ne-ž=nna	noun	3POSS.SG-GEN-RELAT.SG-ERG=3SG.ABS
attaibinešša	atta+i-ve-ne-ž=nna	noun	GEN-RELAT.SG-ERG=3SG.ABS
attaivi	atta+i-i-ve	noun	3POSS.SG-GEN
attaivi	atta+i-ve	noun	GEN
avarri	avari-ne	noun	ABL/INS
avarri	avari-ne-e	noun	RELAT.SG-DIR/LOC
avarrie	avari-ne	noun	ABL/INS
avarrie	avari-ne-e	noun	RELAT.SG-DIR/LOC
azallin	azali-ne-e=n	noun	RELAT.SG-DIR/LOC=3SG.ABS
azallin	azali-ne-n	noun	RELAT.SG-ABL/INS
azallin	azali-ne=n	noun	ABL/INS=3SG.ABS
azallin	azalli=n	noun	.ABS=3SG.ABS
aziri	assīri	noun	.ABS
aziri	aziri	noun	.ABS
aġarri	aġarri	noun	.ABS
aġarri	aġri-ne	noun	ABL/INS
aštenna	āšte-nna	noun	EQU2
aštenna	āšte=nna	noun	.ABS=3SG.ABS
ašḫaštaġe	ašḫ+ašt+a+ḫḫe	noun	.ABS
ašḫaštaġe	ašḫ+ašt+aʾe	noun	.ABS
ašḫudan	ašḫo-da=an	noun	DIR=CON
ašḫudan	ašḫo-da=n	noun	DIR=3SG.ABS
ašḫudan	ašḫo-dan	noun	ABL
ašḫunilla	ašḫo-ne-e=lla	noun	RELAT.SG-DIR/LOC=3PL.ABS
ašḫunilla	ašḫo-ne=lla	noun	ABL/INS=3PL.ABS
ašḫōnan	ašḫo-n=an	noun	ABL/INS=CON
ašḫōnan	ašḫo=n=an	noun	=3SG.ABS=CON
ažammu	až-amm-o	verb	FACT-2A.SG
ažammu	až-amm-u	verb	FACT-MED
ažaštilib	až-ašt-i-le=m	verb	RES-MOD.AG-1JUSS=CON
ažaštilib	až-ašt-il-i-b	verb	RES-il-ANTIP-b
ažugallēni	ažugali-ne-ne	noun	RELAT.SG-ABL/INS
ažugallēni	ažugallē-ne	noun	ABL/INS
ažugallēni	ažugallē-ne-e	noun	RELAT.SG-DIR/LOC
ažulain	až-o-l-ai-n	verb	MOD.PAT-l-PURP-n
ažulain	až-o-l-ai=n	verb	MOD.PAT-l-PURP=3SG.ABS
ažurež	až-o-re-i-ž	verb	PAT-PTCP-3POSS.SG-ERG
ažurež	až-o-re-ž	verb	PAT-PTCP-ERG
