sūlūde	sul+ud-i
ḫužušta	ḫōž-ož-d-a
alubadinaža	al+o+bade-na-až-a
ḫīria	ḫīri-i-a
tažulūwa	taž-ol-u-a
ābi	āb-i
šummundidum	šummun-d-id-o=m
iškinna	išk-i=nna
āġaštetta	aʾ-ašt-ed-d-a
idibuda	idi-v-oda
ammummi	amm+u+mmi
ulōštel	ol-o-ež=dil
saḫḫā	saḫḫi-a
šena	šena
nešša	nešši-a
kiligileštum	keli+gel-išt-o-m
talmuššini	talmošše-ne
ḫavōrunnišša	ḫavor+ni-ne-ž=nna
šuinež	šui-ne-ž
šara	šāri-a
tamrīl	tamri-i=l
painibanel	paini-v-ane=l
fondurunnenna	fondur+o+ni-ne-e=nna
magaldiniba	magaldi-ne-va
šūrōm	šūr-o-m
pindaianni	pindaia+ni-ne
uštae	ošt-i-ai
nakkiōffuž	nakk-i-uffu-ž
sāzallaž	sāzalla-ž
šavallāži	šavli-na-až-ve
ḫerāġi	ḫeraġi
ammen	amm-i-en
šenzūwatta	šen+z+ūwi-a=tta
nabarbinida	nabarbi-ne-da
pudulināi	fud-ul-in-i-ai
avena	ave-na
kargāni	karg+ā+ni
tālinēda	tāle-ne-da
abiššā	ave-ž=nna
tunivadai	ton-i-vade-ae
pirida	piri-da
tabakka	tabakki-a
uenaval	uenawa-ž=l
nēra	nēr-a
pārirunni	pār+i+r+o+ni-ne
inutta	inu=tta
šagarēlla	šag+ar+i-i=lla
tagi	tagi
kināe	kini-ae
šōġaššini	šōġ+a+šše-ne
fandin	fandi+n
ašḫuwe	āšḫo+e
sigaldi	sigaldi
azallin	azali-ne-e=n
ārari	ārari
tamginaž	tamgina-ž
nakki	nakk-i
kammiššōri	kammiššōri
talaḫḫidu	tal+āḫḫ-id-o
nerēda	nera-e-da
naveda	nav-ed-a
tara	tār-a
anammimma	anammi=mma
aruluššina	ar-ol-o-šše-na
šīenāi	šiye-ne-ae
allāni	alla+ni
alumma	al-umme-a
itkašta	itk-ašt-a
teššužum	tešš-ož-o-m
tiba	tibi-a
tādittiniala	tāditti+ni-i-a=lla
neššēna	nešši-na
šilāġi	šilāġi
ōlbīni	olvi-ne-e
nawunnež	nau+ni-ne-ž
