a-uw-a, auwi-a	awfa
ab+ar+i-ne, ab+ar+i-ne-e	abarri
ab+ar+i=m	abarim
ab+iġ+ar+i-ne-ve-ne-e=lla	abiġarrivenella
abal+ġe	abalġi
abal+ġe-a=d	abalġad
abal+ġe-āe	abalġāe
abal+ġe-āi	abalġāi
abi-iffe-až	abibaž
abi-ne-ē, abi-nē	abinie
abri	ābri
abri-i-āž-e	abriāži
abri-ā=m	abrām
abri-ī-da	abrīda
abundi-šši	abundišši
abāri	abāri
ad+a+šše	adašši
ad+a+šše-ne-e	adaššene, adaššīni
ad+a+šše-ve	adaššībi
ad+am+ġe	adamġi
ad+ašt+a+že-a	adaštaža
ad+mi-ne-e	adminie
ad+ā+ni	adāni
ad+ā+ni-i-aš-ta	adaniašta
ad-a=l, ade-a=l, adāl	adal
ad-e, ad-e, ade	ade
ad-i, ade, adi	adi
ad-ē=ma, ade=ma	adēma
adāl-ne-ē=lla, adāl-nē-ž=lla, adāl-nē=lla	adāllēlla
adīr+ġe-a	adīrġa
ag+a+šše, ag-a-šše	agašši
ag+ar+ġ-o, ag+ar+ġ-u	agarġu
ag+ūr+ni-a	agūrna
ag-a, ag-a, agi-a, agi-a	aga
ag-a-b	agab
ag-a-b=ma	agappa
ag-i, ag-i, agi, agi	agi
ag-i-b	agib
ag-i-re-ne-ve	agirinibi
ag-id-en	agiden
ag-id-o	agidu
ag-id-ō-re	agidōri
ag-o-m, ag-o=m, ag-u=m	agum
ag-o-m=ma, ag-o=ma, ag-u+ma+i, agumi-a	aguma
ag-o=lla, ag-u=lla, aguli-na	agulla
ag-o=nna	agunna
ag-ol-ūw-a	agulūwa
ag-u+m+aī=m	agumaīm
ag-ō-m-ā=lla	agūmālla
ag-ō=lla, ag-ū=lla, aguli-na, agūlli-a	agūlla
ag-ōž-a	agōža
ag-ōž-i	agōži
ag-ōž-ā	agōžā
aga-ve	agāve
aga-vē-na-āž-a	agabēnāža
ago-da	aguda
ago-ž	agōž
ai	ai, āi
ai=m	aīb
ai=m=ān, ai=mān	aimān
ai=ma	aima, ema, āima
ai=mma	aīmma
ai=n	aīn
aia	aia
aianguri-n	aiangurin
aigaldu-da	aigalduda
aigaldu-va	aigalduba
aiu-da	aiuda
aiu-va	aiwpa
