sūlūde	sul+ud-i	verb;ANTIP
ḫužušta	ḫōž-ož-d-a	verb;PST;PL.A;3A
alubadinaža	al+o+bade-na-až-a	noun;RELAT.PL;PL;DAT/ESS
ḫīria	ḫīri-i-a	noun;3POSS.SG;ESS
tažulūwa	taž-ol-u-a	verb;ol;MED;3A.SG
ābi	āb-i	verb;ANTIP
šummundidum	šummun-d-id-o=m	verb;d;PL.A;TR.PFV;CON
iškinna	išk-i=nna	verb;ANTIP;3SG.ABS
āġaštetta	aʾ-ašt-ed-d-a	verb;RES;FUT;PL.A;3A
idibuda	idi-v-oda	noun;2POSS.SG;DIR
ammummi	amm+u+mmi	noun;ABS
ulōštel	ol-o-ež=dil	verb;MOD.PAT;OPT;1PL.ABS
saḫḫā	saḫḫi-a	noun;ESS
šena	šena	noun;ABS
nešša	nešši-a	noun;ESS
kiligileštum	keli+gel-išt-o-m	verb;RES;TR.PFV;3A.SG
talmuššini	talmošše-ne	noun;ABL/INS
ḫavōrunnišša	ḫavor+ni-ne-ž=nna	noun;RELAT.SG;ERG;3SG.ABS
šuinež	šui-ne-ž	noun;RELAT.SG;ERG
šara	šāri-a	noun;ESS
tamrīl	tamri-i=l	NUM;3POSS.SG.ABS;3PL.ABS
painibanel	paini-v-ane=l	noun;2POSS.SG;ABL/INS;3PL.ABS
fondurunnenna	fondur+o+ni-ne-e=nna	noun;RELAT.SG;DIR/LOC;3SG.ABS
magaldiniba	magaldi-ne-va	noun;RELAT.SG;DAT
šūrōm	šūr-o-m	verb;TR.PFV;3A.SG
pindaianni	pindaia+ni-ne	noun;ABL/INS
uštae	ošt-i-ai	verb;MOD.AG;PURP
nakkiōffuž	nakk-i-uffu-ž	verb;TR;1A.NEG;PL
sāzallaž	sāzalla-ž	noun;ERG
šavallāži	šavli-na-až-ve	noun;RELAT.PL;PL;GEN
ḫerāġi	ḫeraġi	noun;ABS
ammen	amm-i-en	verb;MOD.AG;3JUSS
šenzūwatta	šen+z+ūwi-a=tta	noun;ESS;1SG.ABS
nabarbinida	nabarbi-ne-da	noun;RELAT.SG;DIR
pudulināi	fud-ul-in-i-ai	verb;ul;in;MOD.AG;PURP
avena	ave-na	noun;RELAT.PL.ABS
kargāni	karg+ā+ni	noun;ABS
tālinēda	tāle-ne-da	noun;RELAT.SG;DIR
abiššā	ave-ž=nna	PRON;ERG;3SG.ABS
tunivadai	ton-i-vade-ae	verb;AG;ADJ.NEG;INS
pirida	piri-da	noun;DIR
tabakka	tabakki-a	noun;ESS
uenaval	uenawa-ž=l	noun;ERG;3PL.ABS
nēra	nēr-a	verb;INT
pārirunni	pār+i+r+o+ni-ne	noun;ABL/INS
inutta	inu=tta	CONJ;1SG.ABS
šagarēlla	šag+ar+i-i=lla	noun;3POSS.SG.ABS;3PL.ABS
tagi	tagi	noun;ABS
kināe	kini-ae	noun;INS
šōġaššini	šōġ+a+šše-ne	noun;ABL/INS
fandin	fandi+n	ADV
ašḫuwe	āšḫo+e	ADV
sigaldi	sigaldi	noun;ABS
