form	segmentation	feats
abalġad	abal+ġe-a=d	noun;ESS;1SG.ABS
abalġi	abal+ġe	noun;ABS
abalġāe	abal+ġe-ae	noun;INS
abarim	ab+ar+i=m	noun;ABS;CON
abarri	ab+ar+i-ne	noun;ABL/INS
abi	avi	PREP
abi	avi	noun;ABS
abiaža	ave-až-a	PRON;PL;DAT/ESS
abiaža	avi-i-až-a	noun;3POSS;PL;DAT/ESS
abibaž	abi-iffe-až	noun;1POSS;PL.ABS
abima	ave=ma	PRON;ABS;CON
abin	avi+n	ADV
abin	avi=n	POST;3SG.ABS
abin	avi-i-n	noun;3POSS.SG;ABL/INS
abinam	avi+n=m	ADV;COM
abinie	abi-ne	noun;ABL/INS
abiġarrivenella	ab+iġ+ar+i-ne-ve-ne-e=lla	noun;RELAT.SG;GEN;RELAT.SG;DIR/LOC;3PL.ABS
abiššā	ave-ž=nna	PRON;ERG;3SG.ABS
abriāži	abri-i-až-ve	noun;3POSS;PL;GEN
abrām	abri-a=m	noun;ESS;2SG.ABS
abrīda	abri-i-da	noun;3POSS.SG;DIR
abundišši	abundi-šši	noun;2POSS.PL.ABS
abāri	abāri	noun;ABS
abēd	ave-ž=d	PRON;ERG;1SG.ABS
abēdilla	ave-ž=dilla	PRON;ERG;1PL.ABS
adal	ade-a=l	noun;ESS;3PL.ABS
adal	ad-a=l	verb;INT;3PL.ABS
adamġi	ad+am+ġe	noun;ABS
adaniašta	ad+ā+ni-i-až-da	noun;3POSS;PL;DIR
adaštaža	ad+ašt+a+že-a	noun;ESS
adaššene	ad+a+šše-ne-e	noun;RELAT.SG;DIR/LOC
adašši	ad+a+šše	noun;ABS
adaššībi	ad+a+šše-ve	noun;GEN
ade	ade	noun;ABS
ade	ad-i	verb;TR.IMP
adi	adi	ADV
adminie	ad+mi-ne-e	noun;RELAT.SG;DIR/LOC
adāllēlla	adāl-ne-e=lla	noun;RELAT.SG;DIR/LOC;3PL.ABS
adāni	ad+ā+ni	noun;ABS
adēma	ade=ma	noun;ABS;CON
adēma	ad-i=ma	verb;TR.IMP;CON
adīrġa	adīr+ġe-a	noun;ESS
aga	agi-a	PRON;ESS
aga	agi-a	noun;ESS
aga	ag-a	verb;INT
agab	ag-a-b	verb;INT;b
agabēnāža	aga-ve-na-až-a	noun;GEN;RELAT.PL;PL;DAT/ESS
agappa	ag-a-b=ma	verb;INT;b;CON
agarġu	ag+ar+ġ-o	verb;MOD.PAT
agašši	ag+a+šše	noun;ABS
agašši	ag-a-šše	verb;INT;NMLZ.ABS
agi	agi	PRON;ABS
agi	agi	noun;ABS
agi	ag-i	verb;ANTIP
agib	ag-i-b	verb;ANTIP;b
agiden	ag-id-en	verb;PL.A;3JUSS
agidu	ag-id-o	verb;PL.A;TR.PFV
agidōri	ag-id-o-re	verb;PL.A;PAT;PTCP.ABS
agirinibi	ag-i-re-ne-ve	verb;AG;PTCP;RELAT.SG;GEN
aguda	ago-da	PRON;DIR
agulla	aguli-na	noun;RELAT.PL.ABS
agulla	ag-o=lla	verb;MOD.PAT;3PL.ABS
